Abigail	Abi
banknot	banknocik
bankomat	bankomacik
bar	bareczek
bar	barek
barak	baraczek
bardak	bardaczek
bardzo	chudzinka
bardzo	ciutkę
bardzo	młodziutki
bardzo	pokorniutko
bardzo	troszeczkę
bariera	barierka
barszcz	barszczyk
baryłka	baryłeczka
bas	basik
basen	basenik
bat	bacik
batalion	batalionik
bateria	bateryjka
baton	batonik
batyst	batyścik
bawełna	bawełenka
bazar	bazarek
bazgroły	bazgrołki
bałagan	bałaganik
bałwan	bałwanek
bańka	banieczka
bażant	bażancik
beczka	beczułka
beczułka	beczułeczka
bednarz	bednarczyk
befsztyk	befsztyczek
bekon	bekonik
belka	beleczka
beret	berecik
beret	beretka
bestia	bestyjka
bet	becik
beton	betonik
betoniarka	betoniareczka
bełkot	bełkocik
bełt	bełcik
biały	bialuchny
biały	bialusieńki
biały	bialuteńki
biały	bialutki
biały	bialuśki
biały	bieluchny
biały	bielusieńki
biały	bieluteńki
biały	bielutki
biały	bieluśki
biba	bibka
bibelot	bibelocik
biblioteka	biblioteczka
bibuła	bibułka
biedak	biedaczek
biedny	biedniusieńki
biedny	biedniuteńki
biedny	biedniutki
biedronka	biedroneczka
biedrónka	biedróneczka
bigos	bigosik
bijak	bijaczek
bilans	bilansik
bilet	bilecik
biletomat	biletomacik
bilon	bilonik
bimber	bimberek
biodro	bioderko
biologia	biolka
biskup	biskupek
biszkopt	biszkopcik
bitwa	bitewka
biurko	biureczko
biuro	biureczko
biuro	biurko
biust	biuścik
biwak	biwaczek
bizmut	bizmutek
blacha	blaszka
blady	bladziuteńki
blady	bladziutki
blady	bledziuteńki
blady	bledziutki
blankiet	blankiecik
blaszak	blaszaczek
blat	blacik
bliski	bliziuteńki
bliski	bliziutki
bliźniak	bliźniaczek
blok	bloczek
blondyn	blondas
blondyn	blondasek
blondyn	blondyneczek
blondyn	blondynek
blondyna	blondaska
blondyna	blondyneczka
blondyna	blondynka
blondynka	blondyneczka
bluzka	bluzeczka
bobas	bobasek
bochen	bochenek
bocian	bocianek
bocian	bociek
bocian	bociuś
bocianię	bocianiątko
boczek	boczuś
boczniak	boczniaczek
bogini	boginka
boja	bojka
bojkot	bojkocik
bojtel	bojtliczek
bojtel	bojtlik
bok	boczek
boks	boksik
bolak	bolaczek
bolero	bolerko
bomba	bombka
bombka	bombeczka
bona	bonka
bonus	bonusik
borderka	borderek
bordiura	bordiurka
borok	boroczek
borsuk	borsuczek
borówka	boróweczka
bosak	bosaczek
brachol	bracholek
brak	braczek
brama	bramka
bramka	brameczka
bransoleta	bransoletka
brat	braciszek
brat	braciszeńko
brat	braciś
brat	bratek
brat	brateńko
brat	bratul
brat	bratunio
brat	bratuszek
bratanica	brataniczka
bratnal	bratnalik
bratowicha	braciszek
brelok	breloczek
brezent	brezencik
broda	bródka
brodawczak	brodawczaczek
brokat	brokacik
broszka	broszeczka
broszura	broszurka
brudas	brudasek
brulion	brulionik
brunet	brunecik
brunetka	bruneteczka
bruzda	bruzdka
bryczka	bryczuszka
brydż	brydżyk
brykiet	brykiecik
brylant	brylancik
brytfanna	brytfanka
bryzol	bryzolik
bryła	bryłeczka
bryła	bryłka
brzeg	brzeżek
brzezina	brzezinka
brzeziniak	brzeziniaczek
brzoza	brzózka
brzuch	brzusio
brzuch	brzuszek
brzuszny	brzuszek
brzęk	brzękadełko
bród	brodzik
brąz	brązik
buda	budka
budzik	budziczek
bufet	bufecik
bujak	bujaczek
buk	buczek
bukiet	bukiecik
bukłak	bukłaczek
buldog	buldożek
bulion	bulionik
bulwa	bulwka
bumaga	bumażka
bunt	buncik
burak	buraczek
burdel	burdelik
bursztyn	bursztynek
bus	busik
but	bucik
but	butek
butelka	butelczyna
butelka	buteleczka
buzia	buzieńka
buzia	buziuchna
buzia	buziulka
buzia	buziunia
buzia	buźka
buziak	buziaczek
buława	buławka
bułka	bułeczka
buźka	buzieczka
bydlak	bydlaczek
bydło	bydełko
byk	byczek
byk	byczuś
bystrzak	bystrzaczek
bzdura	bzdurka
bób	bobek
bób	bobik
bóbr	bobrek
bóg	bożeczek
bóg	bożek
bóg	bożątko
bór	boreczek
bór	borek
bąbel	bąbelek
bąk	bączek
bęben	bębenek
bękart	bękarcie
bękart	bękarcik
bękart	bękarciątko
błazen	błazenek
błogostan	błogostanik
błona	błoneczka
błona	błonka
błoto	błotko
błękit	błękicik
błękit	błękitniutki
błękitnawy	błękitniutki
błękitny	błękitniutki
bździna	bździnka
cacko	cacuszko
całka	całeczka
całus	całusek
cały	calusieńki
cały	caluteńki
cały	calutki
cały	caluśki
ceber	ceberek
ceber	cebrzyk
cebr	ceberek
cebr	cebrzyk
cebula	cebulka
ceglak	ceglaczek
cegła	cegiełka
cela	celka
celibat	celibacik
celofan	celofanik
celulit	celulicik
cement	cemencik
cent	cencik
cenzura	cenzurka
ceper	ceperek
ceper	ceprzysko
cerkiew	cerkiewka
cewka	ceweczka
chabeta	chabetka
cham	chamek
cham	chamuś
chamica	chamek
chamica	chamuś
charakter	charakterek
chart	charcik
charyzmat	charyzmacik
chata	chateńka
chata	chatka
chata	chatynka
chawira	chawirka
chałat	chałacik
chałka	chałeczka
chałtura	chałturka
chałupa	chałupina
chałupa	chałupka
cherlak	cherlaczek
cherub	cherubinek
cherub	cherubinowość
cherubin	cherubinek
cherubin	cherubinowość
chichot	chichocik
chill-out	chill-oucik
chillout	chilloucik
chleb	chlebaszek
chleb	chlebek
chleb	chlebuś
chlebak	chlebaczek
chlebowy	chlebek
chlebowy	chlebuś
chlew	chlewek
chlew	chlewik
chmiel	chmielik
chmura	chmureczka
chmura	chmurka
chochelka	chocheleczka
chochla	chochelka
chodak	chodaczek
chodnik	chodniczek
choina	choineczka
choinka	choineczka
choja	choineczka
cholewa	cholewcia
chomik	chomiczek
chomik	chomiś
chorągiew	chorągiewka
chrobak	chrobaczek
chrobot	chrobocik
chrust	chruścik
chruśniak	chruśniaczek
chrypa	chrypka
chryzantema	chryzantemka
chrześniak	chrześniaczek
chrzęstniak	chrzęstniaczek
chuderlak	chuderlaczek
chudoba	chudobina
chudoba	chudóbka
chudy	chudzieńki
chudy	chudziusieńki
chudy	chudziuteńki
chudy	chudziutki
chudzina	chudzinka
chuj	chuik
chuj	chujeczek
chuj	chujek
chusta	chusteczka
chusta	chustka
chwast	chwaścik
chwila	chwileczka
chwila	chwilka
chwila	chwilunia
chwost	chwościk
chwyt	chwycik
chytrus	chytrusek
chytry	chytreńki
chór	chórek
chęć	chętka
chłoniak	chłoniaczek
chłop	chłopak
chłopak	chłopaczek
chłopak	chłopczyk
chłopak	chłopiec
chłopak	chłopiątko
chłopak	chłoptaś
chłopak	chłoptyś
chłopiec	chłopczyk
chłopię	chłopiątko
chłopka	chłopeczka
chłyst	chłystek
ciapa	ciapka
ciasno	ciaśniutko
ciasny	ciaśniutki
ciastko	ciasteczko
ciasto	ciasteczko
ciało	ciałko
cichy	cicheńki
cichy	cichusieńki
cichy	cichuteńki
cichy	cichutki
cichy	cichuśki
cichy	sopranik
cielak	cielaczek
cielę	cielątko
cielęcina	cielęcinka
ciemniak	ciemniaczek
ciemny	ciemniusieńki
ciemny	ciemniuteńki
ciemny	ciemniutki
cienki	cieniusieńki
cienki	cieniuteńki
cienki	cieniutki
cienki	cieniuśki
cienki	drucik
cienki	pręcik
ciepło	ciepełko
ciepły	cieplusieńki
ciepły	ciepluteńki
ciepły	cieplutki
ciepły	ciepluśki
cierlica	cierliczka
ciesak	ciesaczek
cieszyniak	cieszyniaczek
cieślica	cieśliczka
ciotka	ciocia
ciotka	cioteczka
ciotka	ciotunia
cipa	cipeczka
cipa	cipka
ciuch	ciuszek
ciul	ciuliczek
ciul	ciulik
ciul	ciulka
ciul	ciuloczek
ciulik	ciuliczek
ciupaga	ciupaska
ciupaga	ciupażka
ciut	ciutkę
cięciwa	cięciwka
ciżma	ciżemka
cmentarz	cmentarzyk
cnota	cnotka
cokół	cokolik
cudak	cudaczek
cukier	cukierek
cukierek	cukiereczek
cukiernica	cukierniczka
cwaniak	cwaniaczek
cwel	cwelik
cwibak	cwibaczek
cyberatak	cyberataczek
cyc	cycek
cyc	cycuś
cycek	cycuś
cyferblat	cyferblacik
cyfra	cyferka
cyfrzak	cyfrzaczek
cygan	cyganek
cyganka	cyganeczka
cygaro	cygarko
cylinder	cylinderek
cymbał	cymbałek
cymes	cymesik
cynadra	cynaderka
cyprys	cyprysik
cyranka	cyraneczka
cyrkówka	cyrkóweczka
cytat	cytacik
cytrus	cytrusik
cytryna	cytrynka
cytrynówka	cytrynóweczka
czaban	czabanek
czajnik	czajniczek
czambuł	czambulik
czapka	czapeczka
czaprak	czapraczek
czara	czarka
czarka	czareczka
czarnuch	czarnuszek
czarny	czarniusieńki
czarny	czarniuteńki
czarny	czarniutki
czat	czacik
czcionka	czcioneczka
czekan	czekanik
czekolada	czekoladka
czepek	czepeczek
czepiec	czepeczek
czepiec	czepek
czereda	czeredka
czereśnia	czeresienka
czerniak	czerniaczek
czerpak	czerpaczek
czop	czopek
czosnek	czosneczek
czoło	czółko
czuja	czujka
czulent	czulencik
czupiradło	czupiradełko
czupryna	czuprynka
czworak	czworaczek
czworokąt	czworokącik
czwórka	czwóreczka
czwórniak	czwórniaczek
czyrak	czyraczek
czysty	czyściusieńki
czysty	czyściuteńki
czysty	czyściutki
czytanka	czytaneczka
czyścioch	czyścioszek
czyściocha	czyścioszka
czółno	czółenko
cząber	cząberek
część	cząstka
część	prząśnica
człowiek	człowieczek
córka	córcia
córka	córeczka
córka	córunia
dach	daszek
dachówka	dachóweczka
dama	damka
dama	damula
dama	damuleńka
dama	damulka
dama	damusia
debiut	debiucik
defekt	defekcik
deficyt	deficycik
dekanat	dekanacik
dekiel	dekielek
dekiel	dekliczek
deklinacja	deklinacyjka
dekolt	dekolcik
delikatny	delikatniutki
demon	demonek
denaturat	denaturacik
departament	departamencik
depozyt	depozycik
depresja	depresyjka
deptak	deptaczek
deputat	deputacik
dereniówka	derenióweczka
desant	desancik
deser	deserek
deska	deseczka
deska	deszczułka
destylat	destylacik
deszcz	deszczyk
deszczułka	deszczułeczka
detal	detalik
dewiza	dewizka
dezodorant	dezodorancik
dezyderat	dezyderacik
diabeł	diabełek
diabeł	diablik
diabeł	diablątko
diabeł	diablę
diagram	diagramik
diak	diaczek
diament	diamencik
dioda	diodka
dmuchawa	dmuchawka
dno	denko
dobrobyt	dobrobycik
dobrodziej	dobrodziejaszek
dobrodziejka	dobrodziejaszek
dogmat	dogmacik
dojarka	dojareczka
doktor	doktorek
doktorat	doktoracik
doktorka	doktorek
doktorowa	doktorek
dokument	dokumencik
dokumentować	dokumencik
dokumentować	dokumencina
dolina	dolinka
dolomit	dolomicik
dom	domeczek
dom	domek
domofon	domofonik
donos	donosik
dostawczak	dostawczaczek
dowód	dowodzik
dołek	dołeczek
dołman	dołmanik
drabina	drabinka
dramat	dramacik
dratwa	dratewka
draża	drażetka
dres	dresik
dreszcz	dreszczyk
drewniak	drewniaczek
drewno	drewienko
drobiazg	drobiażdżek
drobina	drobinka
drobniutki	drobniuteńki
drobny	drobniusieńki
drobny	drobniutki
drobny	drobniuśki
droga	drożyna
droga	dróżka
drops	dropsik
druciak	druciaczek
druhna	druhenka
druk	druczek
drukarka	drukareczka
drukarka	drukarenka
drut	drucik
drużyna	drużynka
drwina	drwinka
drzewo	drzewko
drzeworyt	drzeworycik
drzwi	drzwiczki
drąg	drążek
dublet	dublecik
dudy	dudki
dukat	dukacik
dupa	dupcia
dupa	dupeczka
dupa	dupka
duperele	duperelki
duplikat	duplikacik
dupojebak	dupojebaczek
durszlak	durszlaczek
duser	duserek
dusza	duszka
dusza	duszyczka
dwojaki	dwojaczki
dwumian	dwumianik
dwunastokąt	dwunastokącik
dwójka	dwójeczka
dwójniak	dwójniaczek
dycha	dyszka
dykcjonarz	dykcjonarzyk
dyktafon	dyktafonik
dyktat	dyktacik
dylemat	dylemacik
dym	dymek
dymanie	dymanko
dynamit	dynamicik
dynastia	dynastyjka
dyngus	dyngusek
dyngus	dyngusik
dynks	dynksik
dyplom	dyplomik
dyrdymała	dyrdymałka
dyscyplina	dyscyplinka
dyskomfort	dyskomforcik
dyskont	dyskoncik
dysonans	dysonansik
dystrykt	dystrykcik
dywan	dywanik
dzban	dzbaneczek
dzban	dzbanek
dzban	dzbanuszek
dzbanek	dzbanuszek
dziad	dziadek
dziad	dziadziuś
dziadek	dziadeczek
dziadek	dziadunio
dziadek	dziadziuś
działka	działeczka
działo	działko
dzieciak	dzieciaczek
dzieciątko	dzieciąteczko
dziecię	dzieciątko
dziecko	Dzieciątko
dziecko	dzieciaczek
dziecko	dziecina
dziecko	dzieciąteczko
dziecko	dzieciątko
dziecko	dziecię
dziedziniec	dziedzińczyk
dziekanat	dziekanacik
dziennik	dzienniczek
dziesiątka	dziesiąteczka
dziesięciokąt	dziesięciokącik
dziewczyna	dziewczynka
dziewczynka	dziewczyneczka
dziewiątka	dziewiąteczka
dziewięciokąt	dziewięciokącik
dziewka	dzieweczka
dzieło	dziełko
dzień	dzionek
dzikus	dzikusek
dziryt	dzirycik
dziura	dziureczka
dziura	dziurka
dziwak	dziwaczek
dziwka	dziweczka
dziwożona	dziwożonka
dziób	dziobek
dziób	dzióbeczek
dziób	dzióbek
dzięcioł	dzięciołek
dzięcioły	dzięciołek
dzwon	dzwoneczek
dzwon	dzwonek
dzyndzel	dzyndzelek
dół	dołeczek
dół	dołek
dąb	dąbek
dąs	dąsik
długopis	długopisik
dżem	dżemik
efekt	efekcik
ekierka	ekiereczka
ekran	ekranik
eksperyment	eksperymencik
eksponat	eksponacik
eksport	eksporcik
ekstrakt	ekstrakcik
elaborat	elaboracik
elegant	elegancik
elektorat	elektoracik
elektryk	elektryczek
element	elemencik
elf	elfik
emblemat	emblemacik
emotikon	emotka
epigramat	epigramacik
epizod	epizodzik
epizodyczny	epizodzik
esemes	esemesek
estragon	estragonik
etat	etacik
etykieta	etykietka
event	evencik
fabryka	fabryczka
fabuła	fabułka
facet	facecik
facjata	facjatka
fagot	fagocik
fajka	fajeczka
fajniusi	fajniutki
fajnopolak	fajnopolaczek
fajny	fajniusi
fajny	fajniutki
fajrant	fajrancik
fakt	fakcik
faktura	fakturka
fakultet	fakultecik
fala	falka
falbana	falbanka
falbanka	falbaneczka
falochron	falochronik
falownica	falka
falset	falsecik
falsyfikat	falsyfikacik
familia	familijka
fana	fanka
fant	fancik
faraon	faraonik
farba	farbka
farmazon	farmazonik
fart	farcik
fartuch	fartuszek
fasa	faseczka
fasa	faska
faseta	fasetka
faska	faseczka
fasola	fasolka
fason	fasonik
faul	faulik
fałda	fałdka
fałdka	fałdeczka
felieton	felietonik
fenomen	fenomenik
festiwal	festiwalik
fetor	fetorek
fiat	fiacik
fifak	fifaczek
figiel	figielek
figura	figurka
filander	filanderek
filar	filarek
filet	filecik
filiżanka	filiżaneczka
film	filmik
fiok	fioczek
fiolet	fiolecik
fiołek	fiołeczek
firana	firaneczka
firana	firanka
firanka	firaneczka
firmament	firmamencik
fiszbin	fiszbinik
fiut	fiucik
fiut	fiutek
fizol	fizolek
flaga	flażka
flak	flaczek
flak	flaczki
flakon	flakoniczek
flakon	flakonik
flasza	flaszka
flaszka	flaszeczka
flet	flecik
flirt	flircik
flisak	flisaczek
fliza	flizka
fluoryt	fluorycik
flądra	fląderka
foczę	foczątko
foka	foczka
fokstrot	fokstrocik
folia	folijka
foliak	foliaczek
folwark	folwarczek
font	foncik
foremka	foremeczka
forma	foremka
format	formacik
formuła	formułka
fort	forcik
forteca	forteczka
fortuna	fortunka
fotel	fotelik
fotografia	focia
fotografia	fotka
fragment	fragmencik
frak	fraczek
frankfurterka	frankfurtereczka
frazes	frazesik
front	froncik
fronton	frontonik
frukt	frukcik
frykas	frykasek
frykas	frykasik
fryzjerka	fryzjereczka
fryzura	fryzurka
fujara	fujarka
fujarka	fujareczka
fuks	fuksik
ful	fulik
fum	fumik
fundusz	fundusik
fura	furka
furmanka	furmaneczka
furta	furteczka
furta	furtka
furtka	furteczka
futbol	futbolik
futerał	futeralik
futro	futerko
fuzja	fuzyjka
gabaryt	gabarycik
gabineciara	gabineciarka
gabinet	gabinecik
gablota	gablotka
gacek	gacuś
gacie	gaczki
gacie	gatki
gaciowy	gaczki
gaciowy	gatki
gadanina	pierdołka
gaduła	gadułka
gadzina	gadzinka
gadżet	gadżecik
gaj	gaik
galareta	galaretka
galeon	galeonik
galeria	galeryjka
galimatias	galimatiasik
galon	galonik
garbus	garbusik
gardina	gardinka
garnek	garnczek
garnek	garnuszek
garnitur	garniturek
garstka	garsteczka
garść	garsteczka
garść	garstka
gawronię	gawroniątko
gaz	gazik
gazeta	gazetka
gazon	gazonik
gałka	gałeczka
gałązka	gałązeczka
gałąź	gałązka
gejzer	gejzerek
generator	generatorek
geniusz	geniuszek
gepard	gepardziątko
gest	geścik
geszeft	geszefciarz
geszeft	geszefcik
gil	giluszek
gilotyna	gilotynka
gitara	gitarka
glejt	glejcik
glina	gliniak
glina	glinianka
glina	gliniec
glina	glinka
globus	globusik
glorieta	glorietka
glut	glucik
gmach	gmaszek
gnat	gnacik
gniazdo	gniazdeczko
gniazdo	gniazdko
gnieciuch	gnieciuszek
gniot	gniocik
gnojowica	gnojek
gnój	gnojek
gobelin	gobelinek
godzina	godzineczka
godzina	godzinka
gokart	gokarcik
golarka	golareczka
golas	golasek
golonka	goloneczka
gomółka	gomółeczka
gont	goncik
gorset	gorsecik
goryl	gorylek
gorzała	gorzałka
gorzałka	gorzałeczka
gorzki	goryczka
gorzoła	gorzołeczka
gorzołka	gorzołeczka
gospodyni	gosposia
gotowy	gotowiutki
gotówka	gotóweczka
gołda	gołdusia
goły	golusieńki
goły	goluteńki
goły	golutki
goły	goluśki
gołąb	gołąbeczek
gołąb	gołąbek
gołąbka	gołąbeczka
gołębica	gołąbeczka
gołębica	gołąbka
gra	gierka
gra	grywalność
gra	nagranie
gra	nagrywanie
grabie	grabelki
grabie	grabki
grable	grabelki
grafik	graficzek
grajdoł	grajdołek
gramofon	gramofonik
granat	granacik
grant	grancik
granulat	granulacik
grat	gracik
gratis	gratisik
grejpfrut	grejpfrucik
grobla	grobelka
grobowiec	grobowczyk
groch	groszek
grochowy	groszek
grochówka	grochóweczka
gromada	gromadka
gromnica	gromniczka
grosz	grosik
grosz	groszak
grot	grocik
grubas	grubasek
grubas	grubcio
grubasek	grubaska
gruby	grubiutki
gruczoł	gruczołek
gruda	grudka
grunt	gruncik
grupa	grupka
gruszka	gruszeczka
gryka	gryczka
grymas	grymasik
grynszpan	grynszpanik
grypa	grypka
gryps	grypsik
grzanka	grzaneczka
grzałka	grzałeczka
grzbiet	grzbiecik
grzebień	grzebyczek
grzebień	grzebyk
grzech	grzeszek
grzeczny	grzeczniutki
grzmot	grzmocik
grzyb	grzybek
grzywa	grzyweczka
grzywa	grzywka
grzywka	grzyweczka
grządka	grządeczka
grzęda	grządka
grób	grobek
guma	gumeczka
guma	gumka
gumiak	gumiaczek
gumka	gumeczka
gust	guścik
gustownie	guścik
guz	guzek
guzik	guziczek
gwałt	gwałcik
gwiazda	gwiazdeczka
gwiazda	gwiazdka
gwiazdka	gwiazdeczka
gwint	gwincik
gwizdek	gwizdeczek
gwóźdź	gwoździk
gzyms	gzymsik
góra	góreczka
góra	górka
gówno	gówienko
gąbka	gąbeczka
gąsienica	gąsieniczka
gąsior	gąsiorek
gąska	gąseczka
gąszcz	gąszczyk
gązwa	gąsewka
gązwa	gązewka
gęba	gąbka
gęba	gębusia
gęsiarka	gęsiareczka
gęsiarnia	gąska
gęsiarz	gęsiarek
gęsiówka	gąseczka
gęsiówka	gąska
gęsty	gęściutki
gęś	gąseczka
gęś	gąska
gęśle	gęśliki
gładki	gładziusieńki
gładki	gładziuteńki
gładki	gładziutki
gładzić	gładziuteńki
gładzić	gładziuteńko
gładzić	gładziutki
gładzić	gładziutko
głodomór	głodomorek
głodowy	głodek
głos	głosik
głoska	głoseczka
głowa	główeczka
głowa	główka
głowa	pałka
głownia	głowienka
głośnik	głośniczek
głupi	głupiutki
głupiec	głupiutki
głupiec	głuptas
głupiec	głuptasek
głuptas	głuptaś
głód	głodek
główka	główeczka
główkować	głowisia
główkować	główeczka
główkować	główka
gżegżółka	gżegżółeczka
habit	habicik
hafciarnia	hafcik
haft	hafcik
haftowanie	hafcik
hajduk	hajduczek
hak	haczek
hak	haczyk
halka	haleczka
halniak	halniaczek
hamak	hamaczek
handel	handelek
harcerka	harcereczka
harcerz	harcerzyk
harcerzyk	harcereczka
harem	haremik
hasło	hasełko
hałas	hałasik
hektar	hektarek
helikopter	helikopterek
herbata	herbatka
hiacynt	hiacyncik
hiob	hiobek
hipermarket	hipermarkecik
historia	historyjka
hit	hicik
hol	holik
horyzont	horyzoncik
host	hościk
hostel	hostelik
hotel	hotelik
hotspot	hotspocik
huba	hubka
hucuł	hucułek
hulanka	hulaneczka
huragan	huraganik
hurt	hurcik
husarz	husarzyk
huśtawka	huśtaweczka
hydrant	hydrancik
iglica	igliczka
igła	igiełeczka
igła	igiełka
igłówka	igiełka
ikona	ikonka
immunitet	immunitecik
impas	impasik
import	imporcik
impregnat	impregnacik
impreza	imprezka
indeks	indeksik
indyk	indyczek
inkaust	inkauścik
inspekt	inspekcik
instrument	instrumencik
instytut	instytucik
intelekt	intelekcik
interfejs	interfejsik
internat	internacik
intranet	intranecik
intrygant	intryżka
ironia	ironijka
irys	irysek
iskierka	iskiereczka
iskra	iskiereczka
iskra	iskierka
izba	izbeczka
izba	izbina
izba	izdebina
izba	izdebka
izdebka	izdebeczka
jabłko	jabłuszko
jabłonka	jabłoneczka
jabłoń	jabłonka
jacht	jachcik
jagnić się	jagniąteczko
jagnić się	jagniątko
jagnię	jagniątko
jagoda	jagódka
jagódka	jagódeczka
jajko	jajeczko
jajo	jajeczko
jajo	jajko
jama	jamka
jamnica	jamniczka
jamnik	jamniczek
janusz	Januszek
jarmark	jarmarczek
jarzmo	jarzemko
jarzyna	jarzynka
jarzębiak	jarzębiaczek
jarzębina	jarzębinka
jaskółka	jaskółeczka
jasny	jaśniuteńki
jasny	jaśniutki
jaszczurka	jaszczureczka
jaworzyna	jaworzynka
jazgot	jazgocik
jałowica	jałóweczka
jałówka	jałóweczka
jebak	jebaczek
jeden	jedniusieńki
jeden	jedniuteńki
jedenastokąt	jedenastokącik
jedla	jedliczka
jednakowy	jednakowiusieńki
jednakowy	jednakowiuteńki
jednakowy	jednakowiutki
jednakowy	jednakowiuśki
jedwab	jedwabik
jedynaczka	jedynaczek
jedynak	jedynaczek
jedynka	jedyneczka
jedzenie	jedzonko
jedzenie	jeść
jelonek	jeloneczek
jesionka	jesioneczka
jezioro	jeziorko
jełop	jełopek
jodła	jodełka
jodłowy	jodełka
jogurt	jogurcik
jucha	juszka
junak	junaczek
jupa	jupka
jutro	juterko
jądro	jąderko
jęzor	jęzorek
język	języczek
kabanos	kabanosik
kabaret	kabarecik
kabel	kabelek
kabina	kabinka
kabona	kabonka
kabriolet	kabriolecik
kacerz	kacerek
kacerz	kacerzyk
kacerz	kaczorek
kaczka	kaczusia
kaczka	kaczuszka
kaczę	kaczątko
kadzidło	kadzidełko
kadzidłowy	kadzidełko
kadzielnica	kadzielniczka
kadzielny	kadzidełko
kadłub	kadłubek
kafel	kafelek
kaftan	kaftanik
kaganiec	kaganek
kajak	kajaczek
kajdany	kajdanki
kajet	kajecik
kajzerka	kajzereczka
kakao	kakałko
kalafior	kalafiorek
kalarepa	kalarepka
kalendarz	kalendarzyk
kalesony	kalesoniki
kalesony	kalesonki
kalina	kalinka
kalkulator	kalkulatorek
kaloryfer	kaloryferek
kamera	kamerka
kamienica	kamieniczka
kamień	kamyczek
kamień	kamyk
kamizelka	kamizeleczka
kamyk	kamuszek
kamyk	kamyczek
kanapa	kanapka
kanapka	kanapeczka
kanał	kanalik
kanciapa	kanciapka
kandydat	kandydacik
kangur	kangurek
kanka	kaneczka
kant	kancik
kapar	kaparek
kapelusz	kapelusik
kapelusz	kapelutek
kapeć	kapcioszek
kapitał	kapitalik
kapka	kapeczka
kaplica	kapliczka
kapot	kapocik
kaprys	kaprysik
kapsel	kapselek
kapsuła	kapsułka
kaptur	kapturek
kapusta	kapustka
kapuśniak	kapuśniaczek
karabin	karabinek
karafka	karafeczka
karaś	karasek
karczmarka	karczmareczka
kardamon	kardamonik
kardan	kardanik
kardynał	kardynałek
karimata	karimatka
kark	karczek
karkówka	karkóweczka
karlica	karliczka
karmidło	karmidełko
karnet	karnecik
karniak	karniaczek
karota	karotka
karp	karpik
karta	karteczka
karta	karteluszek
karta	kartka
kartka	karteczka
kartka	karteluszek
kartkówka	kartkóweczka
kartofel	kartofelek
kartoflak	kartoflaczek
karton	kartonik
karuzela	karuzelka
karykatura	karykaturka
karykaturzysta	karykaturka
karykaturzystka	karykaturka
karzeł	karzełek
kasa	kaska
kaseta	kasetka
kastet	kastecik
kastrat	kastracik
kasza	kaszka
kaszel	kaszelek
kaszkiet	kaszkiecik
kaszkiet	kaszkiecina
kaszlak	kaszlaczek
kasztan	kasztanek
kasztel	kasztelik
kat	kacik
kat	kacię
katar	katarek
kawa	kawka
kawa	kawunia
kawa	kawusia
kawał	kawałeczek
kawał	kawałek
kawałek	kawalątek
kawałek	kawałeczek
kawiarnia	kawiarenka
kawior	kawiorek
kawka	kaweczka
kawka	kawusia
kałuża	kałużka
każdy	każdziuteńki
każdy	każdziutki
każdy	każdziuśki
kibel	kibelek
kielczanka	kielczaneczka
kielich	kieliszek
kielichowy	kieliszek
kieliszek	kieliszeczek
kielnia	kielenka
kielnia	kielniczka
kiepski	kiepściutki
kiepsko	kiepściuchno
kiepsko	kiepściutko
kierat	kieracik
kierz	kierzek
kierz	krzak
kiesa	kieska
kieszeń	kieszonka
kieszonka	kieszoneczka
kiełb	kiełbik
kiełbasa	kiełbaska
kij	kijaszek
kij	kijek
kijanka	kijaneczka
kikut	kikucik
kilim	kilimek
kilof	kilofek
kilogram	kilogramik
kinomaniak	kinomaniaczek
kipa	kipka
kisiel	kisielek
kiszka	kiszeczka
kit	kicik
kita	kitka
kiziak	kiziaczek
klacz	klaczka
klamerka	klamereczka
klamka	klameczka
klamot	klamocik
klamra	klamerka
klan	klanik
klapa	klapeczka
klapa	klapka
klapka	klapeczka
klarnet	klarnecik
klarnetowy	klarnecik
klasztor	klasztorek
klasówka	klasóweczka
klatka	klateczka
klawiatura	klawiaturka
klej	kleik
klejnot	klejnocik
klejnoty	klejnocik
klekot	klekocik
kleks	kleksik
kleszcz	kleszczyk
kleszcz	kleszczyki
kleszcze	kleszczyk
kleszcze	kleszczyki
klimat	klimacik
klin	klinek
klin	klinik
kloc	klocek
klocek	klocuszek
klomb	klombik
klon	klonik
klops	klopsik
klucz	kluczyk
kluska	kluseczek
kluska	kluseczka
kmieć	kmiotek
knajak	knajaczek
knajpa	knajpka
knajpka	knajpeczka
knedlik	knedliczek
kniaź	kniazik
knot	knocik
koalicja	koalicyjka
kobiałka	kobiałeczka
kobiecina	kobiecinka
kobieta	kobiecina
kobieta	kobiecinka
kobieta	kobieciątko
kobieta	kobietka
kobita	kobitka
kobyła	kobyłka
koc	kocyk
kocanka	kocaneczka
kochanek	kochaneczek
kochanka	kochaneczka
kochany	kochaneńki
kochany	kochanieńki
kochany	kochaniutki
kocio	kicia
kocio	kiciuś
kocio	kizia
kocio	kociaczek
kocio	kociak
kocio	koteczek
kocio	kotek
kocioł	kociołek
kocię	kociątko
kocur	kocurek
kod	kodzik
kogut	kogucik
kogut	kogutek
kojec	kojczyk
kok	koczek
kokarda	kokardka
kokila	kokilka
kokon	kokonik
kokos	kokosek
kokos	kokoszka
kokosy	kokosek
koks	koksik
